scenario,variant,model,seed,mean,std,mean_I,bound_hits
3,prob,ppo,999,33.8477,6.5957,2.0371,1
3,prob,ppo,999,32.7084,6.1214,2.4105,0
3,prob,ppo,999,35.0644,6.6977,2.0406,1
3,prob,ppo,999,30.5425,5.9611,1.8453,0
3,prob,ppo,999,30.0112,5.7096,1.9520,0
3,prob,ppo,999,30.7476,5.8133,2.0223,0
